2025-06-15 at 22:14:36 | INFO | Бот успешно запущен
2025-06-15 at 22:18:30 | INFO | Бот остановлен!
2025-06-15 at 22:18:39 | INFO | Бот успешно запущен
2025-06-15 at 22:20:14 | INFO | Бот остановлен!
2025-06-15 at 22:21:58 | INFO | Бот успешно запущен
2025-06-15 at 22:22:13 | INFO | Бот остановлен!
2025-06-15 at 22:22:21 | INFO | Бот успешно запущен
2025-06-15 at 22:28:56 | INFO | Бот остановлен!
2025-06-15 at 22:29:06 | INFO | Бот успешно запущен
2025-06-15 at 22:29:38 | INFO | Бот остановлен!
2025-06-15 at 22:30:05 | INFO | Бот успешно запущен
2025-06-16 at 11:22:47 | INFO | Бот остановлен!
2025-06-16 at 11:22:54 | INFO | Бот успешно запущен
2025-06-16 at 11:23:14 | INFO | Бот остановлен!
2025-06-16 at 16:55:23 | INFO | Бот успешно запущен
2025-06-16 at 16:57:29 | INFO | Бот остановлен!
2025-06-16 at 16:58:06 | INFO | Бот успешно запущен
2025-06-16 at 17:10:45 | INFO | Бот остановлен!
2025-06-16 at 21:59:27 | INFO | Бот успешно запущен
2025-06-16 at 22:03:21 | INFO | Бот остановлен!
2025-06-16 at 22:03:35 | INFO | Бот успешно запущен
2025-06-22 at 17:43:28 | INFO | Бот успешно запущен
2025-06-22 at 17:46:33 | INFO | Бот остановлен!
2025-06-22 at 17:46:41 | INFO | Бот успешно запущен
2025-06-26 at 10:25:21 | INFO | Бот успешно запущен
2025-06-26 at 10:26:10 | INFO | Бот остановлен!
2025-06-26 at 10:26:16 | INFO | Бот успешно запущен
2025-06-26 at 10:46:36 | INFO | Бот остановлен!
2025-06-26 at 10:46:48 | INFO | Бот успешно запущен
2025-06-26 at 10:47:38 | INFO | Бот остановлен!
2025-06-26 at 10:50:11 | INFO | Бот успешно запущен
2025-06-26 at 10:56:56 | INFO | Бот остановлен!
2025-06-26 at 10:57:02 | INFO | Бот успешно запущен
2025-06-26 at 10:59:06 | INFO | Бот остановлен!
2025-06-26 at 11:01:08 | INFO | Бот успешно запущен
2025-06-26 at 11:13:54 | INFO | Бот остановлен!
2025-06-26 at 11:15:16 | INFO | Бот успешно запущен
2025-06-26 at 11:17:39 | INFO | Бот остановлен!
2025-06-26 at 11:17:43 | INFO | Бот успешно запущен
2025-06-26 at 11:49:45 | INFO | Бот остановлен!
2025-06-26 at 11:58:18 | INFO | Бот успешно запущен
2025-06-26 at 13:49:57 | INFO | Бот успешно запущен
2025-06-26 at 13:56:18 | INFO | Бот остановлен!
2025-06-26 at 13:56:31 | INFO | Бот успешно запущен
2025-06-26 at 13:56:53 | INFO | Бот остановлен!
2025-06-26 at 13:58:13 | INFO | Бот успешно запущен
2025-06-26 at 13:59:14 | INFO | Бот остановлен!
2025-06-29 at 10:54:00 | INFO | Бот успешно запущен
2025-07-01 at 22:07:40 | INFO | Бот успешно запущен
2025-07-01 at 23:35:36 | INFO | Бот остановлен!
2025-07-01 at 23:35:48 | INFO | Бот успешно запущен
2025-07-02 at 11:07:37 | INFO | Бот успешно запущен
2025-07-02 at 12:42:04 | INFO | Бот остановлен!
2025-07-02 at 19:48:20 | INFO | Бот успешно запущен
2025-07-02 at 19:48:31 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-07-02 at 19:48:31 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-07-02 at 19:48:55 | INFO | Бот остановлен!
2025-07-02 at 19:49:05 | INFO | Бот успешно запущен
2025-07-02 at 19:49:26 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-07-02 at 19:49:26 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-07-02 at 20:06:25 | INFO | Бот остановлен!
2025-07-02 at 20:06:36 | INFO | Бот успешно запущен
2025-07-02 at 20:06:37 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-07-02 at 20:06:37 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-07-02 at 20:08:01 | INFO | Бот остановлен!
2025-07-02 at 20:08:12 | INFO | Бот успешно запущен
2025-07-02 at 20:08:14 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-07-02 at 20:08:14 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-07-03 at 09:36:54 | INFO | Бот остановлен!
2025-07-03 at 09:37:04 | INFO | Бот успешно запущен
2025-07-03 at 09:37:09 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-07-03 at 09:37:09 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-07-03 at 10:17:26 | INFO | Бот остановлен!
2025-07-03 at 10:17:31 | INFO | Бот успешно запущен
2025-07-03 at 10:17:38 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-07-03 at 10:17:38 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-07-03 at 10:19:01 | INFO | Бот остановлен!
2025-07-03 at 10:19:06 | INFO | Бот успешно запущен
2025-07-03 at 10:19:12 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-07-03 at 10:19:12 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-07-03 at 14:40:46 | INFO | Бот остановлен!
2025-07-03 at 14:50:46 | INFO | Бот успешно запущен
2025-07-03 at 15:14:34 | INFO | Бот остановлен!
2025-07-03 at 15:14:41 | INFO | Бот успешно запущен
2025-07-03 at 15:21:00 | INFO | Бот остановлен!
2025-07-03 at 15:21:06 | INFO | Бот успешно запущен
2025-07-03 at 16:38:33 | INFO | Бот остановлен!
2025-07-03 at 16:38:38 | INFO | Бот успешно запущен
2025-07-03 at 22:27:33 | INFO | Бот успешно запущен
2025-07-03 at 22:37:54 | INFO | Бот остановлен!
2025-07-03 at 22:38:00 | INFO | Бот успешно запущен
2025-07-03 at 22:38:07 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-07-03 at 22:38:07 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-07-03 at 22:38:11 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-07-03 at 22:38:11 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-07-03 at 22:38:16 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-07-03 at 22:38:16 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-07-03 at 22:40:30 | INFO | Бот остановлен!
2025-07-03 at 22:40:34 | INFO | Бот успешно запущен
2025-07-03 at 22:40:37 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 7788802347}
2025-07-03 at 22:40:37 | INFO | Запись не найдена по фильтрам{'telegram_id': 7788802347}
2025-07-03 at 22:47:29 | INFO | Бот остановлен!
2025-07-03 at 22:47:36 | INFO | Бот успешно запущен
2025-07-03 at 22:47:37 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-07-03 at 22:47:37 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-07-03 at 22:51:30 | INFO | Бот остановлен!
2025-07-03 at 22:51:35 | INFO | Бот успешно запущен
2025-07-03 at 22:51:39 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 7788802347}
2025-07-03 at 22:51:39 | INFO | Запись не найдена по фильтрам{'telegram_id': 7788802347}
2025-07-03 at 22:54:23 | INFO | Бот остановлен!
2025-07-03 at 22:54:37 | INFO | Бот успешно запущен
2025-07-03 at 22:55:13 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-07-03 at 22:55:13 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-07-03 at 22:55:53 | INFO | Бот остановлен!
2025-07-03 at 22:58:57 | INFO | Бот успешно запущен
2025-07-03 at 22:59:14 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-07-03 at 22:59:14 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
